heartRate_cozie,light_cozie,noise_cozie,user_id,temperature_mbient,time-numeric,thermal_cozie
62.0,10.0,10.0,cresh35,27.25,13.38,10.0
65.0,10.0,10.0,cresh35,30.0,18.0,9.0
77.0,10.0,10.0,cresh35,28.25,18.7,9.0
82.0,10.0,10.0,cresh36,29.375,10.2,11.0
67.0,10.0,10.0,cresh36,29.0,11.16,11.0
78.0,10.0,10.0,cresh35,30.5,11.32,10.0
76.0,10.0,11.0,cresh35,30.5,12.14,10.0
73.0,10.0,10.0,cresh35,31.0,13.3,10.0
71.0,10.0,10.0,cresh35,30.875,14.13,11.0
72.0,10.0,,cresh37,27.375,15.9,10.0
70.0,10.0,10.0,cresh36,29.875,15.16,11.0
72.0,10.0,10.0,cresh35,29.375,15.18,10.0
87.0,10.0,10.0,cresh35,30.125,10.5,11.0
78.0,10.0,10.0,cresh35,30.875,11.14,10.0
77.0,10.0,10.0,cresh35,30.5,11.19,10.0
84.0,10.0,10.0,cresh36,29.375,12.44,11.0
74.0,10.0,10.0,cresh35,28.125,13.58,9.0
95.0,10.0,10.0,cresh37,27.375,12.36,10.0
70.0,10.0,10.0,cresh07,26.375,13.2,10.0
83.0,10.0,10.0,cresh10,26.75,13.21,11.0
,10.0,10.0,cresh10,26.0,13.27,10.0
61.0,10.0,10.0,cresh07,26.25,13.3,10.0
92.0,10.0,10.0,cresh10,26.25,13.3,11.0
70.0,10.0,10.0,cresh07,25.25,13.51,10.0
76.0,10.0,10.0,cresh07,28.75,14.4,10.0
76.0,10.0,11.0,cresh10,27.75,14.4,11.0
114.0,10.0,10.0,cresh08,29.125,14.32,10.0
78.0,11.0,11.0,cresh07,31.5,14.35,11.0
73.0,10.0,10.0,cresh12,25.625,14.43,11.0
59.0,10.0,10.0,cresh12,28.5,14.48,11.0
75.0,11.0,11.0,cresh07,30.75,14.49,11.0
63.0,10.0,10.0,cresh12,28.625,15.8,11.0
82.0,11.0,11.0,cresh07,31.375,15.11,11.0
84.0,10.0,10.0,cresh08,31.5,15.28,10.0
66.0,10.0,10.0,cresh12,28.125,15.29,11.0
,10.0,10.0,cresh09,28.875,15.46,10.0
82.0,11.0,10.0,cresh12,27.75,15.46,11.0
86.0,10.0,10.0,cresh09,29.125,15.47,11.0
87.0,10.0,11.0,cresh08,31.25,15.52,10.0
88.0,10.0,10.0,cresh07,30.75,15.52,10.0
96.0,10.0,10.0,cresh09,29.5,15.59,11.0
62.0,10.0,10.0,cresh12,27.625,16.1,11.0
109.0,10.0,10.0,cresh08,29.25,16.18,10.0
66.0,10.0,10.0,cresh12,27.625,16.2,11.0
66.0,10.0,10.0,cresh12,27.5,16.33,11.0
85.0,10.0,10.0,cresh07,30.375,16.39,11.0
69.0,9.0,11.0,cresh06,23.875,8.56,11.0
72.0,9.0,11.0,cresh06,28.0,9.19,11.0
74.0,9.0,11.0,cresh06,27.875,9.31,11.0
66.0,10.0,,cresh14,26.0,11.21,10.0
68.0,10.0,10.0,cresh13,24.75,11.24,10.0
83.0,9.0,10.0,cresh13,27.75,11.4,10.0
90.0,10.0,,cresh14,29.625,11.41,10.0
93.0,10.0,11.0,cresh13,28.25,12.13,10.0
79.0,10.0,11.0,cresh13,27.5,13.7,9.0
94.0,9.0,11.0,cresh14,31.125,13.43,11.0
94.0,9.0,11.0,cresh14,30.5,13.53,9.0
,10.0,10.0,cresh05,24.375,14.11,10.0
109.0,10.0,10.0,cresh11,24.75,14.37,10.0
,10.0,10.0,cresh01,25.25,14.37,10.0
69.0,10.0,10.0,cresh05,24.0,14.38,10.0
85.0,9.0,11.0,cresh13,28.375,14.44,10.0
122.0,10.0,10.0,cresh11,28.5,14.46,10.0
71.0,10.0,10.0,cresh01,26.875,14.48,10.0
92.0,10.0,10.0,cresh05,24.0,14.49,10.0
,10.0,10.0,cresh04,28.625,14.53,10.0
73.0,10.0,10.0,cresh04,28.375,15.1,10.0
80.0,10.0,10.0,cresh11,27.5,15.6,11.0
74.0,10.0,,cresh01,27.875,15.9,10.0
83.0,9.0,11.0,cresh13,28.5,15.15,10.0
75.0,10.0,10.0,cresh01,28.125,15.15,11.0
63.0,10.0,,cresh01,28.375,15.35,10.0
91.0,9.0,10.0,cresh06,25.125,15.36,11.0
82.0,9.0,10.0,cresh06,26.5,15.48,10.0
54.0,10.0,,cresh01,28.625,15.53,10.0
66.0,10.0,10.0,cresh01,28.375,16.9,9.0
61.0,9.0,10.0,cresh01,28.125,16.23,9.0
79.0,10.0,11.0,cresh13,29.0,16.24,10.0
54.0,10.0,10.0,cresh01,28.125,16.39,9.0
82.0,9.0,11.0,cresh13,29.375,16.54,11.0
55.0,10.0,10.0,cresh01,28.125,16.54,10.0
64.0,10.0,,cresh01,28.125,17.8,9.0
86.0,9.0,11.0,cresh13,29.875,17.9,11.0
54.0,10.0,,cresh01,28.375,17.25,9.0
92.0,9.0,11.0,cresh13,28.875,17.38,11.0
75.0,10.0,10.0,cresh14,29.0,18.22,10.0
90.0,9.0,11.0,cresh13,29.5,19.19,11.0
95.0,10.0,10.0,cresh14,28.125,19.2,9.0
71.0,9.0,11.0,cresh13,28.125,19.39,10.0
76.0,9.0,11.0,cresh13,28.125,20.17,11.0
88.0,9.0,11.0,cresh13,30.5,22.6,11.0
75.0,10.0,10.0,cresh06,28.125,9.48,10.0
73.0,11.0,10.0,cresh11,29.5,11.19,10.0
69.0,9.0,10.0,cresh01,29.375,11.32,10.0
106.0,10.0,11.0,cresh11,29.375,11.32,11.0
86.0,9.0,10.0,cresh14,29.0,11.42,10.0
64.0,9.0,10.0,cresh01,29.5,11.47,10.0
100.0,11.0,11.0,cresh11,29.75,11.52,11.0
70.0,10.0,10.0,cresh06,28.375,11.56,10.0
70.0,10.0,10.0,cresh06,28.0,11.56,10.0
119.0,10.0,10.0,cresh06,27.75,12.4,10.0
63.0,10.0,10.0,cresh06,28.375,12.19,10.0
63.0,10.0,10.0,cresh06,28.375,12.34,10.0
66.0,10.0,10.0,cresh06,28.625,12.45,10.0
89.0,10.0,10.0,cresh14,29.125,12.53,10.0
64.0,10.0,10.0,cresh06,28.375,13.0,10.0
94.0,9.0,10.0,cresh14,28.5,13.11,10.0
65.0,10.0,10.0,cresh06,28.125,13.15,9.0
82.0,10.0,10.0,cresh05,25.875,13.26,10.0
89.0,10.0,10.0,cresh05,26.625,13.28,10.0
67.0,10.0,10.0,cresh06,28.125,13.3,10.0
84.0,10.0,10.0,cresh14,29.5,13.55,10.0
107.0,10.0,10.0,cresh11,29.25,13.59,10.0
61.0,10.0,10.0,cresh06,27.625,14.0,9.0
73.0,10.0,10.0,cresh01,29.125,14.8,10.0
59.0,10.0,10.0,cresh06,27.75,14.15,9.0
107.0,10.0,10.0,cresh14,28.0,14.25,10.0
60.0,10.0,10.0,cresh06,28.25,14.3,9.0
105.0,10.0,10.0,cresh09,28.5,14.31,11.0
74.0,10.0,10.0,cresh04,28.375,14.36,10.0
60.0,10.0,10.0,cresh01,28.75,14.39,10.0
57.0,10.0,10.0,cresh06,28.125,14.45,9.0
64.0,10.0,10.0,cresh01,28.5,14.55,10.0
80.0,10.0,10.0,cresh14,28.5,14.56,10.0
59.0,10.0,10.0,cresh06,28.25,15.0,9.0
88.0,10.0,10.0,cresh14,28.875,15.1,10.0
62.0,10.0,10.0,cresh06,27.875,15.15,9.0
59.0,10.0,10.0,cresh06,28.0,15.16,9.0
76.0,10.0,11.0,cresh13,30.125,15.17,11.0
96.0,10.0,10.0,cresh09,31.625,15.18,11.0
63.0,10.0,10.0,cresh06,28.5,15.3,9.0
94.0,9.0,10.0,cresh13,29.75,15.42,11.0
77.0,10.0,10.0,cresh04,28.625,15.56,10.0
89.0,10.0,10.0,cresh14,29.125,15.57,10.0
62.0,10.0,10.0,cresh01,28.75,16.17,10.0
81.0,10.0,10.0,cresh14,29.25,16.18,10.0
59.0,10.0,10.0,cresh01,28.75,16.32,9.0
109.0,10.0,10.0,cresh14,28.625,16.34,10.0
64.0,10.0,,cresh01,28.75,16.47,9.0
69.0,11.0,10.0,cresh01,28.5,17.2,10.0
93.0,9.0,10.0,cresh13,29.5,17.16,11.0
59.0,10.0,10.0,cresh01,28.75,17.17,10.0
68.0,10.0,10.0,cresh13,29.875,17.56,11.0
71.0,10.0,10.0,cresh05,25.25,18.1,11.0
72.0,10.0,10.0,cresh13,28.875,18.23,11.0
96.0,10.0,10.0,cresh05,28.25,18.4,10.0
90.0,11.0,10.0,cresh05,29.375,18.45,10.0
69.0,10.0,10.0,cresh13,28.125,18.53,10.0
72.0,11.0,10.0,cresh05,29.0,19.7,10.0
98.0,10.0,10.0,cresh05,29.375,19.15,10.0
108.0,9.0,10.0,cresh05,29.375,19.16,10.0
70.0,10.0,11.0,cresh13,30.5,19.27,11.0
86.0,10.0,10.0,cresh07,29.625,19.39,10.0
76.0,10.0,,cresh07,30.125,20.2,10.0
82.0,10.0,10.0,cresh08,28.75,20.2,11.0
84.0,10.0,10.0,cresh07,30.75,20.22,11.0
76.0,10.0,10.0,cresh07,31.125,20.34,10.0
106.0,10.0,10.0,cresh08,29.375,20.48,10.0
77.0,10.0,10.0,cresh07,31.625,20.49,10.0
111.0,10.0,10.0,cresh07,27.875,10.5,10.0
76.0,9.0,11.0,cresh07,30.25,10.2,10.0
84.0,9.0,11.0,cresh07,31.375,10.35,10.0
78.0,9.0,11.0,cresh07,31.375,10.5,10.0
104.0,10.0,11.0,cresh10,28.75,10.53,10.0
78.0,9.0,10.0,cresh07,31.5,11.6,10.0
94.0,10.0,10.0,cresh05,31.125,11.8,11.0
73.0,10.0,10.0,cresh05,30.625,11.11,11.0
69.0,10.0,10.0,cresh06,28.625,11.15,9.0
62.0,10.0,10.0,cresh06,28.625,11.15,9.0
63.0,10.0,10.0,cresh06,28.5,11.15,9.0
68.0,10.0,10.0,cresh06,28.5,11.16,9.0
76.0,9.0,11.0,cresh07,31.75,11.18,10.0
61.0,10.0,10.0,cresh06,28.875,11.3,9.0
62.0,10.0,10.0,cresh05,31.0,11.33,11.0
65.0,10.0,10.0,cresh06,28.75,11.45,9.0
66.0,10.0,10.0,cresh05,31.25,11.47,11.0
72.0,10.0,10.0,cresh05,31.25,11.49,11.0
75.0,9.0,10.0,cresh07,31.375,11.5,10.0
62.0,10.0,10.0,cresh06,28.75,12.0,9.0
69.0,10.0,10.0,cresh05,30.875,12.5,10.0
70.0,10.0,10.0,cresh05,30.875,12.5,11.0
72.0,9.0,11.0,cresh07,31.75,12.6,10.0
73.0,10.0,10.0,cresh01,28.625,12.9,10.0
66.0,10.0,10.0,cresh05,30.875,12.13,11.0
75.0,9.0,11.0,cresh07,31.75,12.13,10.0
67.0,10.0,10.0,cresh06,28.75,12.15,9.0
59.0,10.0,10.0,cresh01,28.75,12.21,10.0
56.0,10.0,10.0,cresh06,28.25,12.3,9.0
68.0,9.0,10.0,cresh07,31.5,12.32,10.0
60.0,10.0,10.0,cresh01,28.625,12.33,10.0
80.0,10.0,10.0,cresh10,29.5,12.39,11.0
79.0,9.0,10.0,cresh07,31.5,12.44,10.0
60.0,10.0,10.0,cresh06,27.875,12.45,9.0
55.0,10.0,10.0,cresh01,28.375,12.45,10.0
65.0,10.0,10.0,cresh01,28.375,12.58,10.0
63.0,10.0,10.0,cresh06,28.125,13.0,9.0
83.0,9.0,10.0,cresh07,30.875,13.1,10.0
76.0,10.0,11.0,cresh10,29.0,13.7,10.0
61.0,10.0,10.0,cresh06,28.0,13.15,9.0
87.0,9.0,10.0,cresh01,28.375,13.15,10.0
77.0,10.0,10.0,cresh01,28.5,13.2,10.0
61.0,9.0,10.0,cresh01,28.625,13.31,10.0
91.0,10.0,10.0,cresh07,30.75,13.34,10.0
72.0,10.0,10.0,cresh05,31.25,13.37,11.0
56.0,10.0,11.0,cresh01,28.25,13.47,10.0
105.0,10.0,11.0,cresh14,29.125,14.2,10.0
63.0,10.0,10.0,cresh01,28.125,14.3,10.0
66.0,10.0,10.0,cresh05,30.75,14.16,11.0
67.0,10.0,11.0,cresh01,28.125,14.18,10.0
60.0,10.0,10.0,cresh01,28.25,14.34,10.0
109.0,10.0,10.0,cresh14,28.375,14.34,11.0
55.0,10.0,11.0,cresh01,28.25,14.49,10.0
60.0,10.0,10.0,cresh01,28.375,15.4,10.0
65.0,10.0,10.0,cresh01,28.375,15.2,10.0
57.0,10.0,10.0,cresh01,28.75,15.35,10.0
63.0,10.0,10.0,cresh01,28.75,15.5,10.0
62.0,10.0,10.0,cresh01,28.75,16.5,9.0
85.0,11.0,10.0,cresh01,29.0,16.2,9.0
64.0,10.0,10.0,cresh12,29.5,16.35,11.0
66.0,10.0,10.0,cresh01,28.75,16.35,10.0
63.0,11.0,10.0,cresh01,28.625,16.51,9.0
95.0,9.0,10.0,cresh13,28.375,17.4,11.0
53.0,10.0,10.0,cresh01,28.5,17.6,9.0
63.0,10.0,10.0,cresh12,30.125,17.43,10.0
91.0,10.0,10.0,cresh04,28.5,17.48,10.0
73.0,10.0,10.0,cresh12,29.75,17.56,10.0
92.0,10.0,10.0,cresh04,29.125,17.59,10.0
91.0,10.0,10.0,cresh14,29.375,18.9,10.0
61.0,10.0,10.0,cresh12,29.5,18.15,10.0
79.0,10.0,10.0,cresh04,28.5,18.22,10.0
84.0,10.0,11.0,cresh14,29.25,18.28,10.0
80.0,10.0,10.0,cresh14,29.125,18.46,10.0
75.0,10.0,10.0,cresh12,30.375,19.4,11.0
84.0,9.0,10.0,cresh13,27.625,20.6,10.0
67.0,10.0,10.0,cresh05,30.0,9.58,10.0
103.0,10.0,10.0,cresh04,28.75,10.8,10.0
96.0,10.0,10.0,cresh05,30.375,10.4,10.0
90.0,10.0,10.0,cresh04,28.75,11.2,10.0
122.0,10.0,10.0,cresh14,28.5,11.22,10.0
79.0,10.0,10.0,cresh04,28.125,11.34,10.0
90.0,10.0,10.0,cresh05,30.25,11.38,10.0
90.0,10.0,10.0,cresh05,30.25,11.38,10.0
65.0,10.0,10.0,cresh05,30.125,12.1,10.0
83.0,10.0,10.0,cresh04,27.625,12.2,10.0
82.0,9.0,10.0,cresh13,29.0,12.38,10.0
108.0,10.0,10.0,cresh05,30.125,13.37,10.0
67.0,10.0,10.0,cresh05,29.875,13.58,10.0
70.0,10.0,10.0,cresh06,27.0,14.1,10.0
68.0,10.0,10.0,cresh06,28.125,14.16,10.0
66.0,10.0,10.0,cresh06,29.0,14.31,10.0
62.0,10.0,10.0,cresh06,28.5,14.46,10.0
105.0,10.0,10.0,cresh14,28.375,14.57,11.0
65.0,10.0,10.0,cresh06,28.375,15.16,9.0
65.0,10.0,10.0,cresh05,29.75,15.27,10.0
62.0,10.0,10.0,cresh06,28.125,15.31,9.0
80.0,10.0,10.0,cresh05,29.75,15.38,10.0
64.0,10.0,10.0,cresh06,28.0,15.46,10.0
66.0,10.0,10.0,cresh06,28.25,16.1,10.0
96.0,10.0,10.0,cresh14,28.75,16.5,10.0
82.0,10.0,10.0,cresh04,28.75,16.5,10.0
64.0,10.0,10.0,cresh06,28.375,16.16,9.0
65.0,10.0,10.0,cresh06,28.375,16.16,9.0
90.0,10.0,10.0,cresh14,29.125,16.22,10.0
64.0,10.0,10.0,cresh06,27.875,16.31,9.0
88.0,10.0,10.0,cresh14,29.375,16.39,10.0
107.0,10.0,10.0,cresh06,28.875,16.53,11.0
79.0,10.0,10.0,cresh06,30.75,17.3,11.0
113.0,10.0,10.0,cresh10,30.25,17.5,11.0
77.0,10.0,10.0,cresh04,28.5,17.9,10.0
75.0,10.0,10.0,cresh04,28.75,17.15,10.0
90.0,10.0,10.0,cresh10,30.25,17.16,11.0
98.0,10.0,10.0,cresh14,28.625,17.21,10.0
76.0,10.0,10.0,cresh04,28.75,17.25,10.0
74.0,10.0,10.0,cresh04,28.5,17.35,10.0
85.0,10.0,10.0,cresh14,28.25,17.36,10.0
83.0,10.0,10.0,cresh10,30.375,17.41,11.0
72.0,10.0,10.0,cresh04,28.75,17.45,10.0
78.0,10.0,10.0,cresh10,30.25,17.54,10.0
91.0,10.0,10.0,cresh14,29.75,18.2,10.0
80.0,10.0,10.0,cresh10,29.875,18.13,10.0
93.0,10.0,10.0,cresh14,28.5,18.15,10.0
69.0,10.0,10.0,cresh10,30.125,18.24,10.0
92.0,10.0,10.0,cresh14,28.375,18.3,10.0
68.0,10.0,10.0,cresh10,30.125,18.33,10.0
88.0,9.0,11.0,cresh13,28.5,18.58,11.0
101.0,9.0,11.0,cresh13,28.375,19.31,11.0
64.0,10.0,10.0,cresh05,29.375,9.31,10.0
101.0,9.0,11.0,cresh01,30.75,9.44,11.0
64.0,10.0,10.0,cresh06,27.25,9.46,10.0
61.0,10.0,10.0,cresh05,28.875,9.53,10.0
61.0,10.0,10.0,cresh05,28.75,9.55,10.0
59.0,10.0,10.0,cresh06,28.0,10.0,10.0
81.0,9.0,10.0,cresh01,29.875,10.1,11.0
63.0,10.0,10.0,cresh06,28.25,10.15,10.0
71.0,9.0,10.0,cresh01,30.625,10.17,11.0
74.0,10.0,10.0,cresh05,28.75,10.18,10.0
60.0,10.0,10.0,cresh06,28.125,10.3,10.0
77.0,9.0,10.0,cresh01,30.25,10.32,10.0
73.0,10.0,10.0,cresh05,28.75,10.35,10.0
55.0,10.0,10.0,cresh06,28.125,10.45,10.0
68.0,9.0,11.0,cresh01,30.625,10.47,10.0
59.0,10.0,10.0,cresh06,27.875,11.0,9.0
74.0,9.0,10.0,cresh01,30.5,11.2,10.0
61.0,10.0,10.0,cresh05,28.875,11.5,10.0
72.0,10.0,10.0,cresh05,28.75,11.14,10.0
60.0,10.0,10.0,cresh06,27.375,11.15,9.0
70.0,9.0,10.0,cresh01,30.5,11.17,10.0
59.0,10.0,10.0,cresh05,29.25,11.19,10.0
64.0,10.0,10.0,cresh01,30.25,11.32,10.0
68.0,10.0,10.0,cresh05,28.75,11.43,9.0
63.0,9.0,10.0,cresh01,30.5,11.48,10.0
74.0,10.0,10.0,cresh05,28.75,11.51,9.0
110.0,10.0,10.0,cresh05,29.25,11.55,10.0
59.0,9.0,10.0,cresh01,30.125,12.3,10.0
72.0,10.0,,cresh10,30.625,12.13,10.0
60.0,9.0,10.0,cresh01,30.375,12.18,10.0
93.0,9.0,10.0,cresh13,29.375,12.19,10.0
59.0,9.0,10.0,cresh01,30.0,12.33,10.0
87.0,10.0,10.0,cresh10,29.375,12.34,10.0
76.0,10.0,10.0,cresh07,28.75,12.35,10.0
74.0,10.0,10.0,cresh07,28.75,12.39,10.0
64.0,10.0,10.0,cresh01,30.25,12.48,10.0
76.0,10.0,10.0,cresh10,29.375,12.5,10.0
75.0,10.0,10.0,cresh07,28.0,13.0,10.0
59.0,10.0,10.0,cresh01,30.25,13.4,10.0
80.0,10.0,10.0,cresh10,29.0,13.4,10.0
77.0,10.0,10.0,cresh07,28.125,13.1,10.0
75.0,10.0,10.0,cresh10,28.625,13.17,10.0
64.0,10.0,10.0,cresh01,30.25,13.19,10.0
77.0,10.0,10.0,cresh07,27.25,13.26,10.0
62.0,10.0,10.0,cresh01,30.125,13.34,11.0
81.0,10.0,10.0,cresh07,28.125,13.35,10.0
101.0,10.0,,cresh08,31.375,13.4,10.0
76.0,10.0,10.0,cresh10,28.375,13.4,11.0
78.0,10.0,,cresh08,30.125,13.43,11.0
79.0,10.0,,cresh08,29.75,13.44,11.0
89.0,10.0,11.0,cresh13,29.625,13.44,11.0
79.0,10.0,11.0,cresh08,30.75,13.5,11.0
73.0,10.0,10.0,cresh10,28.25,13.55,10.0
91.0,10.0,10.0,cresh04,29.375,13.59,10.0
64.0,10.0,10.0,cresh08,28.875,13.59,10.0
87.0,10.0,10.0,cresh14,29.875,14.0,10.0
91.0,10.0,10.0,cresh05,29.375,14.6,10.0
111.0,10.0,10.0,cresh11,32.25,14.6,11.0
70.0,10.0,10.0,cresh10,28.25,14.1,10.0
75.0,10.0,10.0,cresh08,26.625,14.1,10.0
100.0,10.0,10.0,cresh14,27.875,14.16,10.0
87.0,10.0,10.0,cresh08,28.625,14.19,10.0
78.0,10.0,11.0,cresh10,28.625,14.19,10.0
77.0,10.0,10.0,cresh08,28.25,14.22,10.0
83.0,10.0,10.0,cresh10,28.75,14.24,10.0
80.0,10.0,10.0,cresh10,28.875,14.27,10.0
