heartRate_cozie,light_cozie,noise_cozie,user_id,temperature_mbient,time-numeric,thermal_cozie
74.0,10.0,10.0,cresh10,28.375,14.4,10.0
90.0,10.0,10.0,cresh13,28.0,14.41,10.0
70.0,10.0,10.0,cresh07,28.375,14.42,9.0
88.0,10.0,10.0,cresh14,27.625,14.48,10.0
80.0,10.0,10.0,cresh07,28.375,14.53,10.0
67.0,10.0,10.0,cresh10,28.125,14.55,10.0
98.0,10.0,11.0,cresh12,32.375,14.55,11.0
86.0,10.0,10.0,cresh04,29.125,15.0,10.0
79.0,10.0,10.0,cresh07,27.5,15.3,9.0
65.0,10.0,10.0,cresh10,27.625,15.1,10.0
99.0,11.0,10.0,cresh11,32.125,15.12,11.0
94.0,10.0,10.0,cresh04,29.0,15.12,10.0
113.0,10.0,10.0,cresh05,31.875,15.12,11.0
67.0,10.0,11.0,cresh12,31.5,15.13,10.0
76.0,10.0,10.0,cresh14,27.625,15.13,9.0
73.0,10.0,10.0,cresh07,28.125,15.14,10.0
78.0,10.0,10.0,cresh05,30.5,15.19,11.0
88.0,10.0,10.0,cresh04,28.5,15.23,10.0
75.0,10.0,10.0,cresh07,28.125,15.24,10.0
66.0,10.0,10.0,cresh10,28.125,15.25,10.0
68.0,10.0,11.0,cresh12,31.5,15.32,10.0
88.0,10.0,10.0,cresh04,28.5,15.33,10.0
102.0,10.0,10.0,cresh14,27.625,15.34,10.0
100.0,10.0,10.0,cresh09,28.5,15.34,11.0
77.0,10.0,11.0,cresh07,28.5,15.34,10.0
89.0,10.0,10.0,cresh11,30.125,15.38,11.0
67.0,10.0,10.0,cresh10,28.0,15.4,9.0
76.0,10.0,10.0,cresh05,30.5,15.4,10.0
82.0,10.0,10.0,cresh04,30.625,15.42,10.0
79.0,10.0,10.0,cresh07,28.75,15.44,10.0
77.0,10.0,11.0,cresh12,31.875,15.48,11.0
82.0,10.0,10.0,cresh11,30.25,15.49,10.0
70.0,10.0,10.0,cresh05,30.125,15.51,10.0
83.0,10.0,10.0,cresh04,28.75,15.53,10.0
109.0,10.0,10.0,cresh07,29.0,15.54,10.0
90.0,10.0,10.0,cresh09,27.625,15.58,10.0
85.0,10.0,10.0,cresh04,28.75,16.2,10.0
92.0,10.0,10.0,cresh14,27.75,16.4,10.0
80.0,10.0,10.0,cresh07,30.0,16.7,10.0
76.0,10.0,10.0,cresh04,28.75,16.16,10.0
90.0,9.0,11.0,cresh13,28.25,16.19,10.0
76.0,10.0,10.0,cresh07,29.875,16.22,10.0
91.0,9.0,10.0,cresh05,30.375,16.22,11.0
91.0,9.0,10.0,cresh11,29.625,16.22,10.0
84.0,10.0,10.0,cresh14,27.5,16.25,9.0
70.0,9.0,10.0,cresh05,30.0,16.26,11.0
90.0,10.0,10.0,cresh04,28.75,16.27,10.0
76.0,10.0,10.0,cresh07,30.0,16.33,10.0
84.0,11.0,10.0,cresh11,29.875,16.34,10.0
77.0,10.0,10.0,cresh07,30.125,16.42,10.0
68.0,11.0,10.0,cresh11,29.875,16.45,10.0
69.0,10.0,10.0,cresh05,29.875,16.45,10.0
76.0,10.0,10.0,cresh07,30.125,16.5,10.0
68.0,10.0,10.0,cresh05,30.0,16.53,10.0
77.0,11.0,10.0,cresh11,30.0,16.55,10.0
98.0,10.0,10.0,cresh14,27.5,17.0,10.0
99.0,10.0,10.0,cresh14,27.875,17.0,10.0
81.0,10.0,10.0,cresh07,29.875,17.6,10.0
71.0,10.0,10.0,cresh07,29.625,17.1,10.0
76.0,11.0,10.0,cresh11,29.25,17.23,10.0
86.0,10.0,10.0,cresh14,27.5,17.42,9.0
63.0,10.0,10.0,cresh05,29.75,18.5,10.0
99.0,10.0,10.0,cresh14,27.75,18.7,9.0
89.0,10.0,11.0,cresh13,28.125,18.22,10.0
57.0,10.0,10.0,cresh05,29.75,19.1,10.0
93.0,10.0,10.0,cresh05,30.5,19.14,10.0
102.0,10.0,10.0,cresh14,27.0,20.28,9.0
88.0,10.0,10.0,cresh14,27.375,20.44,10.0
115.0,10.0,10.0,cresh14,28.375,20.57,10.0
90.0,10.0,10.0,cresh14,29.375,21.5,10.0
77.0,10.0,10.0,cresh14,30.125,22.6,10.0
78.0,10.0,10.0,cresh14,30.375,22.56,10.0
79.0,10.0,10.0,cresh14,30.125,23.1,10.0
75.0,10.0,10.0,cresh14,30.125,23.12,10.0
81.0,10.0,,cresh14,30.125,23.23,10.0
102.0,10.0,10.0,cresh14,29.5,23.43,9.0
93.0,10.0,10.0,cresh14,30.0,23.59,10.0
85.0,10.0,10.0,cresh14,30.375,0.21,10.0
85.0,10.0,10.0,cresh14,30.125,0.45,10.0
88.0,10.0,10.0,cresh13,29.875,10.57,11.0
102.0,10.0,11.0,cresh13,29.875,14.45,10.0
75.0,10.0,10.0,cresh14,31.25,17.24,10.0
85.0,10.0,10.0,cresh13,31.625,22.32,11.0
93.0,10.0,10.0,cresh14,28.125,14.9,10.0
97.0,10.0,10.0,cresh14,28.125,14.27,10.0
69.0,9.0,11.0,cresh13,28.75,14.28,10.0
103.0,10.0,11.0,cresh14,27.625,14.44,9.0
86.0,10.0,10.0,cresh14,26.25,15.18,9.0
66.0,10.0,10.0,cresh06,29.0,15.22,10.0
90.0,10.0,10.0,cresh04,29.375,15.32,10.0
84.0,10.0,10.0,cresh14,28.375,15.33,10.0
68.0,10.0,10.0,cresh06,29.125,15.37,10.0
90.0,10.0,10.0,cresh04,29.625,15.44,10.0
68.0,10.0,10.0,cresh06,28.75,15.52,10.0
87.0,10.0,10.0,cresh04,29.375,15.54,10.0
68.0,10.0,10.0,cresh06,29.0,16.7,10.0
89.0,10.0,10.0,cresh14,28.75,16.31,10.0
83.0,10.0,10.0,cresh04,29.0,16.38,10.0
81.0,10.0,10.0,cresh04,29.125,16.46,10.0
83.0,10.0,10.0,cresh14,29.375,16.47,10.0
68.0,10.0,10.0,cresh06,28.5,16.52,10.0
86.0,10.0,10.0,cresh14,29.875,17.7,10.0
86.0,10.0,10.0,cresh14,30.125,17.36,10.0
87.0,10.0,10.0,cresh14,29.0,17.45,10.0
85.0,10.0,10.0,cresh14,29.375,18.7,10.0
79.0,10.0,11.0,cresh13,28.75,19.5,11.0
85.0,10.0,10.0,cresh13,30.375,22.14,11.0
66.0,10.0,10.0,cresh06,27.25,10.29,10.0
61.0,10.0,10.0,cresh06,28.125,10.46,10.0
58.0,10.0,10.0,cresh06,28.25,11.1,10.0
58.0,10.0,10.0,cresh06,28.125,11.16,10.0
60.0,10.0,10.0,cresh06,28.125,11.31,9.0
59.0,10.0,10.0,cresh06,27.5,11.46,9.0
60.0,10.0,10.0,cresh06,27.625,12.1,9.0
64.0,10.0,10.0,cresh06,27.875,12.16,9.0
62.0,10.0,10.0,cresh06,27.75,12.31,9.0
83.0,10.0,10.0,cresh13,29.125,12.37,10.0
59.0,10.0,10.0,cresh06,27.5,12.46,9.0
63.0,10.0,10.0,cresh06,27.25,13.1,9.0
90.0,9.0,10.0,cresh12,31.75,13.9,11.0
85.0,10.0,10.0,cresh13,29.375,13.1,11.0
88.0,9.0,10.0,cresh12,31.5,13.13,11.0
66.0,10.0,10.0,cresh06,27.5,13.31,9.0
64.0,9.0,11.0,cresh12,31.875,13.33,11.0
72.0,10.0,10.0,cresh08,30.125,13.38,10.0
78.0,10.0,10.0,cresh08,30.25,13.4,11.0
68.0,10.0,11.0,cresh12,31.75,13.5,11.0
91.0,10.0,10.0,cresh08,31.25,13.51,10.0
86.0,10.0,11.0,cresh08,30.375,14.1,10.0
60.0,10.0,10.0,cresh06,28.125,14.1,9.0
59.0,10.0,10.0,cresh06,28.25,14.16,9.0
83.0,10.0,10.0,cresh08,30.0,14.17,10.0
94.0,10.0,10.0,cresh12,28.5,14.2,10.0
85.0,10.0,11.0,cresh08,29.625,14.26,10.0
77.0,10.0,10.0,cresh12,27.875,14.36,10.0
82.0,10.0,10.0,cresh08,29.0,14.39,10.0
76.0,10.0,11.0,cresh08,28.875,14.48,11.0
69.0,10.0,10.0,cresh12,27.25,14.5,10.0
79.0,10.0,11.0,cresh08,30.125,14.58,10.0
85.0,10.0,10.0,cresh13,29.875,15.0,11.0
93.0,10.0,11.0,cresh08,30.75,15.7,10.0
63.0,10.0,10.0,cresh12,27.0,15.7,10.0
66.0,10.0,10.0,cresh12,27.0,15.13,10.0
93.0,10.0,10.0,cresh08,29.25,15.16,10.0
69.0,10.0,10.0,cresh12,26.75,15.23,10.0
72.0,10.0,10.0,cresh08,25.875,15.37,10.0
83.0,10.0,10.0,cresh12,29.125,15.43,10.0
61.0,10.0,10.0,cresh08,25.625,15.51,10.0
68.0,10.0,10.0,cresh12,26.875,16.0,10.0
63.0,10.0,10.0,cresh08,25.25,16.1,10.0
66.0,10.0,10.0,cresh08,25.5,16.1,10.0
59.0,10.0,10.0,cresh12,26.5,16.15,10.0
60.0,10.0,10.0,cresh12,26.5,16.31,10.0
67.0,10.0,10.0,cresh12,26.375,16.5,10.0
55.0,10.0,10.0,cresh08,24.875,16.52,10.0
57.0,10.0,10.0,cresh08,25.125,16.56,10.0
64.0,10.0,10.0,cresh12,26.875,17.2,9.0
62.0,10.0,10.0,cresh08,25.125,17.3,10.0
61.0,10.0,10.0,cresh08,25.25,17.12,10.0
92.0,10.0,10.0,cresh12,27.875,17.13,10.0
54.0,10.0,10.0,cresh12,27.0,17.18,10.0
77.0,10.0,10.0,cresh08,24.875,17.21,10.0
62.0,10.0,10.0,cresh12,26.5,17.32,9.0
59.0,10.0,10.0,cresh08,24.875,17.41,10.0
64.0,10.0,10.0,cresh12,26.5,17.47,9.0
58.0,10.0,10.0,cresh08,25.25,17.5,10.0
53.0,11.0,10.0,cresh08,25.125,17.59,10.0
59.0,10.0,10.0,cresh08,25.25,18.8,10.0
94.0,10.0,10.0,cresh13,29.25,19.6,11.0
69.0,10.0,10.0,cresh11,30.875,11.5,10.0
110.0,10.0,10.0,cresh04,30.125,11.5,10.0
84.0,10.0,10.0,cresh11,29.75,11.15,10.0
84.0,10.0,10.0,cresh11,29.125,11.27,10.0
78.0,10.0,10.0,cresh11,29.25,11.36,9.0
75.0,10.0,10.0,cresh11,28.875,11.46,10.0
78.0,10.0,10.0,cresh10,28.125,11.5,10.0
73.0,10.0,10.0,cresh11,28.75,11.56,10.0
95.0,10.0,10.0,cresh09,31.25,11.58,11.0
101.0,10.0,11.0,cresh06,30.5,11.58,11.0
90.0,10.0,11.0,cresh06,30.5,11.59,11.0
78.0,10.0,10.0,cresh10,27.875,12.17,9.0
94.0,11.0,10.0,cresh09,32.125,12.19,11.0
78.0,10.0,10.0,cresh04,28.75,12.28,10.0
79.0,10.0,10.0,cresh10,27.625,12.31,10.0
110.0,10.0,10.0,cresh04,29.375,12.36,10.0
107.0,9.0,10.0,cresh09,31.75,12.37,10.0
116.0,10.0,11.0,cresh06,30.125,12.43,11.0
69.0,10.0,10.0,cresh06,27.375,12.59,11.0
80.0,10.0,10.0,cresh04,28.25,13.1,10.0
80.0,10.0,10.0,cresh11,29.0,13.8,10.0
80.0,10.0,10.0,cresh10,27.0,13.9,10.0
79.0,10.0,10.0,cresh04,28.125,13.11,10.0
95.0,9.0,10.0,cresh09,31.75,13.12,11.0
67.0,10.0,10.0,cresh06,27.0,13.14,11.0
80.0,10.0,10.0,cresh11,29.0,13.16,10.0
82.0,10.0,10.0,cresh04,28.125,13.31,10.0
70.0,10.0,10.0,cresh06,25.5,13.33,10.0
96.0,9.0,10.0,cresh09,31.75,13.34,11.0
82.0,10.0,10.0,cresh10,28.125,13.37,10.0
72.0,11.0,10.0,cresh11,29.375,13.4,10.0
76.0,10.0,10.0,cresh04,28.125,13.41,10.0
68.0,10.0,10.0,cresh06,25.5,13.45,10.0
98.0,10.0,10.0,cresh04,28.75,13.51,10.0
96.0,11.0,10.0,cresh10,28.75,13.51,11.0
88.0,9.0,10.0,cresh09,31.75,13.54,11.0
68.0,10.0,10.0,cresh06,25.375,14.0,10.0
74.0,11.0,10.0,cresh11,29.0,14.0,10.0
66.0,10.0,10.0,cresh12,30.875,14.3,11.0
73.0,11.0,10.0,cresh11,28.875,14.1,10.0
93.0,10.0,10.0,cresh09,31.0,14.14,10.0
82.0,10.0,10.0,cresh04,28.375,14.16,10.0
71.0,10.0,10.0,cresh12,30.75,14.17,11.0
77.0,10.0,10.0,cresh04,28.25,14.25,10.0
65.0,11.0,10.0,cresh11,29.375,14.26,10.0
66.0,10.0,10.0,cresh06,27.25,14.3,10.0
61.0,10.0,10.0,cresh12,31.125,14.32,11.0
86.0,10.0,10.0,cresh09,31.5,14.35,11.0
73.0,11.0,10.0,cresh11,29.5,14.36,11.0
60.0,10.0,10.0,cresh06,28.375,14.45,9.0
79.0,10.0,10.0,cresh04,28.625,14.46,10.0
61.0,10.0,10.0,cresh12,30.875,14.5,11.0
86.0,10.0,10.0,cresh09,31.625,14.55,11.0
70.0,11.0,10.0,cresh11,30.25,14.55,11.0
58.0,10.0,10.0,cresh06,28.5,15.0,9.0
76.0,11.0,10.0,cresh11,29.125,15.7,11.0
86.0,10.0,10.0,cresh04,28.375,15.8,10.0
86.0,10.0,10.0,cresh04,28.375,15.11,10.0
69.0,10.0,11.0,cresh12,31.625,15.13,10.0
62.0,10.0,10.0,cresh06,28.5,15.15,9.0
89.0,10.0,10.0,cresh09,31.125,15.15,10.0
70.0,11.0,10.0,cresh11,28.625,15.16,11.0
71.0,10.0,10.0,cresh11,28.5,15.28,11.0
58.0,10.0,10.0,cresh06,28.0,15.3,10.0
110.0,10.0,10.0,cresh10,29.375,15.3,10.0
65.0,10.0,10.0,cresh12,30.75,15.31,11.0
96.0,10.0,10.0,cresh09,31.25,15.35,10.0
65.0,11.0,10.0,cresh11,28.75,15.4,10.0
69.0,10.0,10.0,cresh12,30.75,15.46,11.0
78.0,11.0,10.0,cresh11,29.75,15.5,10.0
87.0,10.0,10.0,cresh09,31.625,15.55,10.0
67.0,10.0,10.0,cresh12,31.25,16.3,11.0
82.0,10.0,10.0,cresh09,31.375,16.15,11.0
63.0,11.0,10.0,cresh11,29.125,16.16,10.0
57.0,10.0,11.0,cresh12,31.0,16.21,11.0
105.0,10.0,10.0,cresh11,29.875,16.26,10.0
86.0,10.0,10.0,cresh09,31.75,16.35,11.0
82.0,11.0,10.0,cresh11,31.375,16.36,11.0
74.0,11.0,10.0,cresh11,31.625,16.46,11.0
57.0,10.0,10.0,cresh12,30.625,16.5,11.0
82.0,10.0,10.0,cresh11,31.875,16.55,10.0
87.0,10.0,10.0,cresh09,31.5,16.55,11.0
69.0,10.0,10.0,cresh12,30.625,17.5,11.0
83.0,9.0,11.0,cresh12,30.375,17.13,11.0
83.0,10.0,10.0,cresh09,31.5,17.15,11.0
86.0,10.0,11.0,cresh09,31.5,17.16,11.0
72.0,9.0,11.0,cresh12,31.25,17.37,11.0
72.0,9.0,10.0,cresh13,29.25,18.34,10.0
91.0,10.0,10.0,cresh08,27.5,18.48,10.0
59.0,10.0,10.0,cresh08,27.75,18.57,10.0
51.0,10.0,10.0,cresh08,28.125,19.6,10.0
59.0,11.0,11.0,cresh08,27.875,19.34,10.0
58.0,11.0,10.0,cresh08,27.625,19.43,10.0
92.0,10.0,10.0,cresh13,29.125,20.4,11.0
89.0,10.0,10.0,cresh06,27.75,9.48,10.0
89.0,10.0,10.0,cresh06,27.75,9.48,10.0
94.0,,10.0,cresh11,29.125,10.15,11.0
67.0,10.0,10.0,cresh06,27.75,10.16,10.0
64.0,10.0,10.0,cresh06,27.875,10.3,10.0
87.0,10.0,10.0,cresh04,29.75,10.32,10.0
85.0,10.0,10.0,cresh11,30.0,10.35,11.0
62.0,10.0,10.0,cresh06,28.125,10.48,10.0
74.0,10.0,10.0,cresh13,29.125,10.52,11.0
92.0,10.0,10.0,cresh04,29.0,11.5,10.0
55.0,10.0,10.0,cresh06,27.875,11.15,9.0
60.0,10.0,10.0,cresh06,27.5,11.38,9.0
79.0,10.0,10.0,cresh09,29.125,11.45,10.0
62.0,10.0,10.0,cresh06,27.625,12.1,9.0
96.0,10.0,10.0,cresh09,29.375,12.4,10.0
98.0,9.0,10.0,cresh09,31.25,12.45,11.0
72.0,10.0,11.0,cresh13,29.25,12.46,10.0
93.0,9.0,10.0,cresh09,31.875,13.7,11.0
94.0,9.0,10.0,cresh09,31.875,13.22,11.0
98.0,9.0,11.0,cresh13,29.75,13.37,11.0
96.0,10.0,10.0,cresh09,29.625,13.44,10.0
93.0,10.0,10.0,cresh09,29.375,14.3,10.0
92.0,10.0,10.0,cresh09,30.125,14.24,11.0
76.0,9.0,11.0,cresh13,29.625,14.3,11.0
92.0,10.0,10.0,cresh09,29.625,14.44,10.0
79.0,10.0,10.0,cresh06,28.75,14.52,10.0
97.0,10.0,10.0,cresh09,29.75,15.5,10.0
74.0,10.0,10.0,cresh06,29.375,15.7,11.0
74.0,9.0,11.0,cresh13,30.125,15.2,11.0
98.0,10.0,10.0,cresh09,29.375,15.23,10.0
73.0,10.0,10.0,cresh06,29.875,15.33,10.0
90.0,10.0,10.0,cresh09,29.375,15.44,10.0
77.0,10.0,10.0,cresh06,29.375,15.46,10.0
67.0,10.0,10.0,cresh06,28.875,16.0,10.0
85.0,10.0,10.0,cresh09,29.25,16.4,10.0
70.0,10.0,10.0,cresh06,29.5,16.2,10.0
88.0,10.0,10.0,cresh09,29.375,16.27,11.0
71.0,10.0,10.0,cresh06,29.75,16.29,10.0
83.0,10.0,10.0,cresh09,29.125,16.44,10.0
69.0,10.0,10.0,cresh06,29.625,16.45,10.0
75.0,10.0,10.0,cresh09,29.5,17.6,11.0
67.0,10.0,10.0,cresh06,29.75,17.7,10.0
70.0,10.0,10.0,cresh13,29.75,17.19,11.0
82.0,10.0,10.0,cresh09,29.0,17.24,10.0
84.0,10.0,10.0,cresh09,28.625,17.44,10.0
64.0,10.0,10.0,cresh06,28.75,17.47,10.0
81.0,10.0,10.0,cresh09,28.75,18.4,10.0
82.0,9.0,11.0,cresh13,29.625,18.14,11.0
94.0,10.0,10.0,cresh09,29.375,18.43,10.0
72.0,10.0,10.0,cresh14,28.5,18.53,9.0
84.0,10.0,10.0,cresh09,29.25,19.3,10.0
75.0,10.0,10.0,cresh14,28.5,19.12,9.0
82.0,10.0,10.0,cresh09,29.125,19.2,10.0
70.0,10.0,10.0,cresh14,28.125,19.34,9.0
73.0,10.0,10.0,cresh14,28.625,19.46,9.0
73.0,10.0,10.0,cresh13,29.375,20.18,11.0
97.0,10.0,10.0,cresh06,28.625,12.32,10.0
85.0,10.0,10.0,cresh06,28.75,12.35,10.0
61.0,9.0,10.0,cresh06,29.0,12.44,10.0
59.0,9.0,10.0,cresh06,28.75,13.0,10.0
57.0,9.0,10.0,cresh06,29.0,13.15,9.0
59.0,9.0,10.0,cresh06,29.0,13.15,9.0
61.0,9.0,10.0,cresh06,29.0,13.3,9.0
58.0,9.0,10.0,cresh06,28.875,13.45,9.0
91.0,10.0,10.0,cresh09,28.875,13.56,11.0
57.0,10.0,10.0,cresh06,28.5,14.15,9.0
97.0,10.0,10.0,cresh09,29.0,14.16,10.0
63.0,9.0,10.0,cresh06,28.375,14.3,9.0
96.0,10.0,10.0,cresh09,29.375,14.37,10.0
96.0,11.0,11.0,cresh10,27.625,14.43,10.0
58.0,10.0,10.0,cresh06,28.625,14.45,9.0
96.0,10.0,10.0,cresh09,29.875,14.56,9.0
79.0,10.0,10.0,cresh10,28.75,14.58,10.0
63.0,10.0,11.0,cresh06,28.5,15.0,9.0
102.0,10.0,10.0,cresh10,27.5,15.1,10.0
58.0,9.0,10.0,cresh06,28.375,15.15,9.0
91.0,10.0,10.0,cresh09,29.625,15.16,10.0
78.0,10.0,10.0,cresh10,29.25,15.27,10.0
58.0,10.0,10.0,cresh06,28.5,15.31,9.0
77.0,10.0,10.0,cresh10,29.375,15.42,11.0
60.0,10.0,11.0,cresh06,28.375,15.45,9.0
74.0,10.0,10.0,cresh10,28.75,15.49,11.0
57.0,10.0,11.0,cresh06,28.5,15.53,9.0
62.0,10.0,11.0,cresh06,28.75,15.54,9.0
101.0,10.0,11.0,cresh09,29.125,15.55,10.0
67.0,10.0,10.0,cresh10,29.5,15.24,10.0
81.0,9.0,10.0,cresh10,29.875,15.29,10.0
78.0,10.0,10.0,cresh10,30.125,15.34,10.0
72.0,10.0,10.0,cresh10,28.125,18.19,11.0
72.0,10.0,10.0,cresh10,28.125,18.27,10.0
